Make,Model,sale ,Fuel Type,Transmission,Color,Owner_a,Seller Type,Engine_a,Max Power,Max Torque,Drivetrain,Price USD,Kilometer,Length_a,Width,Height,Seating Capacity,Fuel Tank Capacity,Year_a
Maruti Suzuki,S-Presso VXi AMT,1/20/2021,Gasolina,Automatic,Grey,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,5640.00,2169,3565,1520,1564,5,7.128,2020
Volkswagen,Vento Comfortline Petrol AT,6/1/2020,Gasolina,Automatic,Brown,First,Individual,1197 cc,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,FWD,9180.00,60240,4384,1699,1466,5,14.52,2015
Hyundai,Santro Sportz AMT [2018-2020],12/21/2020,Gasolina,Automatic,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,7068.00,13772,3610,1645,1560,5,9.24,2018
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],1/7/2023,Gasolina,Manual,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,11988.00,27464,3995,1770,1605,5,11.88,2019
Hyundai,Creta 1.6 SX Plus Petrol,7/28/2022,Gasolina,Manual,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,14100.00,36313,4270,1780,1630,5,15.84,2019
Honda,Brio V MT,2/3/2023,Gasolina,Manual,Red,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,4212.00,39276,3610,1680,1500,5,9.24,2014
Hyundai,Elite i20 Asta 1.2,3/22/2018,Gasolina,Manual,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6612.00,47752,3985,1734,1505,5,11.88,2015
Honda,WR-V VX MT Petrol,9/20/2022,Gasolina,Manual,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,9840.00,27963,3999,1734,1601,5,10.56,2018
Hyundai,Venue SX 1.0 Turbo iMT,6/8/2022,Gasolina,Manual,Blue,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,11880.00,24013,3995,1770,1605,5,11.88,2020
Hyundai,Creta 1.6 SX Plus AT,8/25/2022,Diesel,Automatic,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,11100.00,66000,4270,1780,1630,5,15.84,2016
Ford,Ecosport Titanium+ 1.0L EcoBoost,1/29/2018,Gasolina,Manual,Silver,First,Individual,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,FWD,6420.00,28000,3999,1765,1708,5,13.728,2015
Tata,Tiago Revotron XE [2016-2019],10/1/2021,Gasolina,Manual,White,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,4908.00,27069,3746,1647,1535,5,9.24,2018
Tata,Tigor Revotorq XT,8/23/2022,Diesel,Manual,White,First,Individual,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,FWD,5880.00,43000,3992,1677,1537,5,9.24,2018
Toyota,Innova 2.4 G 8 STR [2016-2017],8/2/2023,Diesel,Manual,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,22800.00,71000,4735,1830,1795,8,14.52,2019
Mercedes-Benz,GLC 220 d Progressive,12/22/2022,Diesel,Automatic,Black,Second,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,46200.00,45600,4656,1890,1639,5,17.424,2017
Hyundai,Creta SX 1.6 CRDi (O),10/26/2022,Diesel,Manual,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,13500.00,60000,4270,1780,1665,5,14.52,2018
Mercedes-Benz,M-Class ML 250 CDI,7/23/2021,Diesel,Automatic,White,First,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,27600.00,105101,4804,2141,1796,5,18.48,2014
Toyota,Corolla Altis VL AT Petrol,1/22/2021,Gasolina,Automatic,Black,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,13140.00,45000,4620,1775,1475,5,14.52,2016
Hyundai,Elite i20 Asta 1.2,4/3/2022,Gasolina,Manual,Gold,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6300.00,68397,3985,1734,1505,5,11.88,2015
Mahindra,Thar CRDe 4x4 AC,4/30/2021,Diesel,Manual,White,Second,Individual,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD,7500.00,65000,3920,1726,1930,6,15.84,2015
Maruti Suzuki,Baleno Delta 1.2,6/24/2021,Gasolina,Manual,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7260.00,27469,3995,1745,1500,5,9.768,2019
Maruti Suzuki,Celerio VXi AMT,8/25/2018,Gasolina,Automatic,Silver,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,4944.00,41058,3600,1600,1560,5,9.24,2016
Maruti Suzuki,Ciaz VDi SHVS,12/13/2022,Diesel,Manual,Brown,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,7500.00,51330,4490,1730,1485,5,11.352,2016
Maruti Suzuki,Ciaz VXi,12/9/2022,Gasolina,Manual,Silver,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,6132.00,45969,4490,1730,1485,5,11.352,2015
Hyundai,Creta SX Plus 1.6 AT CRDI,2/4/2018,Diesel,Automatic,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,13800.00,66602,4270,1780,1630,5,15.84,2017
Hyundai,Creta SX Plus 1.6  Petrol,5/30/2021,Gasolina,Manual,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,10620.00,57983,4270,1780,1630,5,15.84,2016
Renault,Kwid 1.0 RXT AMT Opt,8/24/2020,Gasolina,Automatic,Silver,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,5640.00,11183,3679,1579,1478,5,7.392,2019
MG,Hector Sharp 2.0 Diesel [2019-2020],8/1/2023,Diesel,Manual,White,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,19332.00,46301,4655,1835,1760,5,15.84,2019
Tata,Tiago Revotron XZA [2017-2019],6/23/2021,Gasolina,Automatic,Silver,Second,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,5700.00,34867,3746,1647,1535,5,9.24,2017
Toyota,Innova 2.5 GX BS IV 7 STR,8/29/2020,Diesel,Manual,Silver,First,Individual,2494 cc,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,RWD,10380.00,43634,4585,1765,1760,7,14.52,2015
BMW,X3 xDrive 20d Luxury Line [2018-2020],1/11/2021,Diesel,Automatic,Blue,First,Corporate,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,45600.00,9512,4657,1881,1678,5,17.688,2018
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,6/13/2022,Diesel,Automatic,White,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,AWD,29700.00,11293,4395,1818,1640,5,15.84,2020
Mahindra,Scorpio SLE BS-IV,5/15/2022,Diesel,Manual,White,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4800.00,78000,4430,1817,1975,8,15.84,2014
Honda,Brio S MT,6/17/2021,Gasolina,Manual,White,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,5280.00,50374,3610,1680,1500,5,9.24,2016
BMW,3-Series 320i Luxury Line,4/5/2022,Gasolina,Automatic,White,First,Individual,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD,33600.00,15900,4633,1811,1429,5,15.048,2017
Honda,City V Petrol [2017-2019],10/27/2021,Gasolina,Manual,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,7740.00,64000,4440,1695,1495,5,10.56,2017
Maruti Suzuki,Vitara Brezza ZXi Plus,3/25/2022,Gasolina,Manual,Silver,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,12540.00,24000,3995,1790,1640,5,12.672,2021
Maruti Suzuki,Eeco 7 STR [2019-2020],10/15/2023,Gasolina,Manual,Grey,Second,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,6180.00,40310,3675,1475,1800,7,10.56,2019
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],8/21/2022,Gasolina,Automatic,Blue,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,5460.00,69700,3765,1660,1520,5,11.352,2015
Toyota,Fortuner 2.8 4x2 AT [2016-2020],5/19/2021,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,41988.00,73000,4795,1855,1835,7,21.12,2019
Maruti Suzuki,Swift ZXi Plus AMT,11/12/2023,Gasolina,Automatic,Grey,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,9300.00,24000,3845,1735,1530,5,9.768,2021
Hyundai,Elite i20 Sportz 1.5 MT Diesel,1/17/2022,Diesel,Manual,White,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,9900.00,43000,3995,1775,1505,5,9.768,2021
Audi,A3 35 TDI Technology + Sunroof,12/17/2022,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,27000.00,40500,4456,1796,1416,5,13.2,2016
Honda,City V CVT Petrol [2017-2019],7/18/2018,Gasolina,Automatic,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,10380.00,49013,4440,1695,1495,5,10.56,2017
Honda,Jazz VX Petrol,1/31/2024,Gasolina,Manual,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,6840.00,92270,3955,1694,1544,5,10.56,2017
Honda,Amaze 1.5 SX i-DTEC,1/1/2022,Diesel,Manual,Black,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4200.00,110000,3990,1680,1505,5,9.24,2014
Toyota,Camry 2.5L AT,10/16/2022,Gasolina,Automatic,Brown,First,Individual,2494 cc,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,FWD,28140.00,47000,4825,1825,1480,5,18.48,2017
Mahindra,Thar LX 4-STR Hard Top Petrol AT,1/27/2023,Gasolina,Automatic,Black,First,Individual,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,AWD,19800.00,10000,3985,1820,1844,4,15.048,2022
Audi,Q3 35 TDI quattro Premium Plus,2/8/2019,Diesel,Automatic,White,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,34800.00,35000,4385,1831,1608,5,16.896,2018
Maruti Suzuki,Baleno Sigma 1.2,10/10/2021,Gasolina,Manual,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6540.00,61518,3995,1745,1500,5,9.768,2017
BMW,X1 sDrive20d xLine,5/18/2022,Diesel,Automatic,White,First,Corporate,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,35880.00,34000,4454,2044,1545,5,16.632,2018
Maruti Suzuki,Baleno Zeta 1.2,1/13/2024,Gasolina,Manual,Silver,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7380.00,36058,3995,1745,1500,5,9.768,2017
Hyundai,Creta 1.6 SX Plus AT,9/29/2023,Diesel,Automatic,Silver,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,10680.00,88000,4270,1780,1630,5,15.84,2016
Volkswagen,Vento Comfortline Petrol,1/17/2019,Gasolina,Manual,Brown,First,Individual,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,5160.00,98112,4384,1699,1466,5,14.52,2015
Toyota,Camry Hybrid,1/13/2024,Gasolina,Automatic,Silver,First,Individual,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD,19188.00,92355,4825,1825,1480,5,17.16,2015
Maruti Suzuki,DZire VXi,1/30/2022,Gasolina,Manual,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,8292.00,16652,3995,1735,1515,5,9.768,2019
Nissan,Terrano XV D THP 110 PS,3/19/2022,Diesel,Manual,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,7800.00,76584,4331,1822,1671,5,13.2,2016
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],11/21/2023,Diesel,Manual,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,8028.00,70000,3995,1790,1640,5,12.672,2016
BMW,X5 xDrive30d Pure Experience (5 Seater),2/23/2018,Diesel,Automatic,Black,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,35400.00,84700,4886,1938,1762,5,0,2015
Mercedes-Benz,GLC 220 d Sport,1/6/2022,Diesel,Automatic,White,Second,Individual,,,,,46800.00,83400,,,,,0,2018
Porsche,Cayenne Coupe Platinum Edition,3/18/2023,Gasolina,Automatic,Blue,First,Individual,2995 cc,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,AWD,194400.00,2766,4931,1983,1676,4,19.8,2022
Mercedes-Benz,C-Class Cabriolet C 300,12/19/2021,Gasolina,Automatic,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,61200.00,56000,4686,1810,1409,4,15.576,2017
Hyundai,Elite i20 Magna 1.2,4/30/2021,Gasolina,Manual,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6300.00,68766,3985,1734,1505,5,11.88,2015
Hyundai,Verna 1.6 VTVT SX,10/29/2021,Gasolina,Manual,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,9000.00,16339,4375,1700,1475,5,11.352,2018
Honda,Amaze 1.2 SX i-VTEC,6/13/2021,Gasolina,Manual,Bronze,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,5340.00,63882,3990,1680,1505,5,9.24,2016
Hyundai,Elite i20 Sportz 1.2 (O),6/14/2022,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7332.00,51349,3985,1734,1505,5,11.88,2017
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],1/29/2023,Gasolina,Automatic,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,5700.00,61866,3765,1660,1520,5,11.352,2014
Hyundai,Creta SX Plus 1.6  Petrol,2/23/2018,Gasolina,Manual,Grey,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,11100.00,29401,4270,1780,1630,5,15.84,2017
BMW,X1 sDrive20d xLine,4/3/2022,Diesel,Automatic,Black,First,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,46800.00,8000,4454,2044,1545,5,16.632,2021
Mahindra,XUV300 W8 (O) 1.5 Diesel,11/15/2023,Diesel,Manual,White,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,15588.00,31348,3995,1821,1627,5,11.088,2020
Maruti Suzuki,Swift ZDi Plus,11/5/2021,Diesel,Manual,Blue,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,6960.00,28851,3840,1735,1530,5,9.768,2018
Mahindra,Thar LX 4-STR Hard Top Petrol MT,2/4/2022,Gasolina,Manual,Blue,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,18900.00,8519,3985,1820,1844,4,15.048,2021
Mercedes-Benz,E-Class E 250 CDI Avantgarde,2/16/2022,Diesel,Automatic,White,First,Individual,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,RWD,27000.00,48000,4879,1854,1474,5,21.12,2015
Toyota,Fortuner 3.0 4x2 AT,4/30/2021,Diesel,Automatic,White,Second,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,16800.00,143000,4705,1840,1850,7,21.12,2014
Tata,Zest XM 75 PS Diesel,12/19/2021,Diesel,Manual,Silver,First,Commercial Registration,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,5100.00,39000,3995,1706,1570,5,11.616,2017
Skoda,Rapid Ambition 1.6 MPI AT Plus,3/10/2023,Gasolina,Automatic,Beige,Second,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,5100.00,24000,4386,1699,1466,5,14.52,2014
Maruti Suzuki,Alto 800 Lxi,1/29/2023,Gasolina,Manual,Maroon,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3000.00,62000,3395,1490,1475,5,9.24,2015
Ford,Figo Duratorq Diesel ZXI 1.4,5/2/2021,Diesel,Manual,White,Second,Individual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,2820.00,82000,3795,1680,1427,5,11.88,2014
Audi,A3 35 TDI Technology + Sunroof,2/24/2023,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,36600.00,40910,4456,1796,1416,5,13.2,2020
Tata,Harrier XZ Plus,4/26/2021,Diesel,Manual,Red,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,25740.00,10290,4598,1894,1706,5,13.2,2020
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,7/3/2022,Gasolina,Automatic,Red,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,14940.00,10530,3995,1775,1505,5,9.768,2021
Hyundai,Elite i20 Asta 1.2,8/22/2021,Gasolina,Manual,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,6588.00,61900,3985,1734,1505,5,11.88,2015
Maruti Suzuki,Swift DZire VXI,6/13/2021,Gasolina,Manual,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,4980.00,57402,3995,1695,1555,5,11.088,2014
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],11/29/2023,Gasolina,Manual,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,4500.00,87500,3765,1660,1520,5,11.352,2015
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],11/25/2023,Gasolina,Automatic,Black,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,22500.00,18000,4300,1790,1635,5,13.2,2022
Audi,Q2 Premium Plus I 40 TFSI quattro,4/6/2021,Gasolina,Automatic,White,First,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD,35400.00,10700,4318,1805,1548,5,14.52,2020
Audi,Q7 45 TDI Premium Plus,9/28/2021,Diesel,Automatic,Black,First,Individual,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,58800.00,78000,5052,1968,1740,7,19.8,2018
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,7/20/2022,Gasolina,Automatic,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,12600.00,16282,3995,1775,1505,5,9.768,2020
Maruti Suzuki,Wagon R VXI,10/6/2023,Gasolina,Manual,Silver,Second,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,4140.00,72019,3599,1495,1700,5,9.24,2017
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],10/20/2023,Gasolina,Manual,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,5820.00,55221,3765,1660,1520,5,11.352,2018
Toyota,Fortuner 2.8 4x2 AT [2016-2020],4/17/2021,Diesel,Automatic,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,40200.00,25000,4795,1855,1835,7,21.12,2018
Audi,Q5 45 TFSI Premium Plus,7/16/2023,Gasolina,Automatic,Blue,UnRegistered Car,Individual,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,67812.00,1,4663,1898,1659,5,18.48,2022
Renault,Duster RXS 1.5 Petrol MT,8/16/2021,Gasolina,Manual,White,First,Individual,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,10680.00,23500,4360,1822,1695,5,13.2,2020
Hyundai,Creta SX 1.6 AT Petrol,3/4/2021,Gasolina,Automatic,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,16680.00,29096,4270,1780,1665,5,14.52,2019
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],8/17/2021,Gasolina,Manual,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,5520.00,61223,3765,1660,1520,5,11.352,2016
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],8/20/2020,Diesel,Manual,White,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,12900.00,86000,4395,1818,1640,5,15.84,2017
Mercedes-Benz,GLC 220 d Sport,10/5/2022,Diesel,Automatic,Blue,Second,Individual,,,,,52800.00,47009,,,,,0,2018
Audi,A6 35 TDI Matrix,5/12/2022,Diesel,Automatic,Black,First,Corporate,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,46800.00,48945,4933,1874,1455,5,19.8,2018
Mahindra,Marazzo M2 8 STR,4/5/2020,Diesel,Manual,Green,First,Individual,1497 cc,121 bhp @ 3500 rpm,300 Nm @ 1750 rpm,FWD,12600.00,17000,4585,1866,1774,8,11.88,2019
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],8/27/2020,Diesel,Manual,Silver,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,18900.00,55000,4315,1800,1645,5,13.2,2019
Maruti Suzuki,Baleno Alpha 1.2,10/11/2023,Gasolina,Manual,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7860.00,38779,3995,1745,1500,5,9.768,2016
